Date,Predicted Use [kW]
2014-12-01,30.320979590746624
2014-12-02,31.070358808851235
2014-12-03,29.489024150261343
2014-12-04,30.91139958076844
2014-12-05,30.471681196591355
2014-12-06,29.565407155963463
2014-12-07,30.531548957817343
2014-12-08,31.25615530920775
2014-12-09,29.76978330635563
2014-12-10,29.412641144559217
2014-12-11,29.728495195165294
2014-12-12,30.172342390461413
2014-12-13,30.395298190889232
2014-12-14,30.13518309039011
2014-12-15,30.34988126857986
2014-12-16,29.670691839498822
2014-12-17,29.550956317046847
2014-12-18,30.44277951875812
2014-12-19,30.704959024816755
2014-12-20,30.47374560215087
2014-12-21,29.916356101081327
2014-12-22,29.734688411843845
2014-12-23,29.53444107257071
2014-12-24,29.375481844487915
2014-12-25,29.94732218447408
2014-12-26,31.119904542279638
2014-12-27,30.22188812388982
2014-12-28,30.118667845913976
2014-12-29,30.92997923080409
2014-12-30,31.472917892957017
2014-12-31,31.218996009136447
